Organization,Shelter Facility,City,State,Zip Code,Phone,HIC Beds,Type (T/E),Island,New Georeferenced Column,latitude,longitude
Alternative Structures International,Ohana Ola O Kahumana *,Waianae,HI,96792,(808) 696-4095,222,T,Oahu,POINT (-158.161693 21.442697),21.442697,-158.161693
Catholic Charities Hawaii,Maili Land*,Waianae,HI,96792,(808) 696-4885,54,T,Oahu,POINT (-158.161693 21.442697),21.442697,-158.161693
Catholic Charities Hawaii,Family Assessment Center*,Honolulu,HI,96813,(808) 521-4357,50,E,Oahu,POINT (-157.850311 21.31207),21.31207,-157.850311
Catholic Charities Hawaii,Villages of Maili,Waianae,HI,96792,(808) 521-4357,120,E,Oahu,POINT (-158.161693 21.442697),21.442697,-158.161693
Child & Family Services,CFS Transitional Apartments*,Ewa Beach,HI,96706,(808) 841-0822,46,T,Oahu,POINT (-158.015744 21.33493),21.33493,-158.015744
Child and Family Service,Hale Ohana*,Hilo,HI,96720,(808) 935-2188,16,E (DV),Hawaii,POINT (-155.183814 19.686113),19.686113,-155.183814
Child and Family Service,West Hawaii Domestic Abuse Shelter*,Kailua-Kona,HI,96740,(808) 935-2188,10,E (DV),Hawaii,POINT (-155.974369 19.690584),19.690584,-155.974369
Child and Family Service,Hale Kahua Paa*,Hilo,HI,96720,(808) 935-2188,10,T (DV),Hawaii,POINT (-155.183814 19.686113),19.686113,-155.183814
Family Life Center,Hoolanani,Kahului,HI,96732,(808) 877-0880,18,E,Maui,POINT (-156.462615 20.879676),20.879676,-156.462615
Family Promise of Hawaii,Honolulu Family Center*,Honolulu,HI,96817,(808) 548-7478,14,E,Oahu,POINT (-157.853835 21.33095),21.33095,-157.853835
Family Promise of Hawaii,Wahiawa Family Center*,Wahiawa,HI,96786,(808) 258-2404,14,E,Oahu,POINT (-158.041806 21.499705),21.499705,-158.041806
Gregory House Programs,Community Residential Program,Honolulu,HI,96817,(808) 592-9022,11,T,Oahu,POINT (-157.853835 21.33095),21.33095,-157.853835
Gregory House Programs,HOPWA Transitional Housing,Honolulu,HI,96817,(808) 592-9022,15,T,Oahu,POINT (-157.853835 21.33095),21.33095,-157.853835
